Location Label,Latitude,Longitude,Contributer,Notes
NashvilleTN,36.174465,-86.76796,Id0,Id0 = the instructional team
MemphisTN,35.1175,-89.971107,Id0,
JacksonTN,35.614517,-88.813947,Id0,
KnoxvilleTN,35.960638,-83.920739,id28,
ChattanoogaTN,35.04563,-85.30968,id28,
LynchburgTN,35.2831355,-86.3741588,id28,
Soddy-DaisyTN,35.2359,-85.1908,Ananth,
ShilohTN,35.1154,-88.3617,Ananth,
RinggoldGA,34.9159,-85.1091,Ananth,
MetropolisIL,37.1512,-88.732,Ananth,
MonticelloKY,36.8298,-84.8491,Ananth,
GuntersvilleAL,34.3581,-86.2947,Ananth,
AshlandCityTN,36.2742,-87.0642,Id29,
WhiteBluffTN,36.1076,-87.2208,Id29,
FranklinTN,35.9251,-86.8689,Id29,
StLouisMO,38.6269,-90.1994,Id31,
ColumbiaMO,38.9517,-92.3339,Id31,
KansasCityMO,39.0997,-94.5783,Id31,
FortCampbellKY,36.65216,-87.45583,Id21,
MurfreesboroTN,35.846143,-87.455831,Id21,
ClarksvilleTN,36.524497,-87.355498,Id21,
LittleRockAR,34.7556,-92.288,Id30,
NewBostonTX,33.4598,-94.4155,Id30,
DallasTX,32.7767,-96.797,Id30,
AustinTX,30.2672,-97.7431,Id9,
ArtesiaWellsTX,28.2813,-99.2858,Id9,
MonterreyNLMexico,25.6866,-100.3161,Id9,
AtlantaGA,33.753746,-84.38633,Id24,
AugustaGA,33.47506323,-82.01036443,Id4,
CharlotteNC,35.3016918,-80.85833941,Id4,
RaleightNC,35.80744047,-78.63086791,Id4,